Province,Department,Programme,Subprogramme,Sum - 2018/19 Revised baseline,Sum - 2019/20 Revised baseline,Sum - 2020/21 Indicative baseline
EASTERN CAPE,,,,78433947.0679498,82455189.8510597,87956104.8137799
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",,,1146006.188,1140580,1199467
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",Administration,,234687,253288,261685
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",Administration,Corporate Services,62040,65199,70164
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",Administration,Financial   Management,103528,111657,111197
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",Administration,Office of the HOD,66090,73291,76956
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",Administration,Office of the MEC,3029,3141,3368
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",Economic Development  and Tourism,,591542.188,544704,575364
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",Economic Development  and Tourism,Business  Regulation & Governance,141615,149301,159037
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",Economic Development  and Tourism,Economic Planning,7525,7517,7893
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",Economic Development  and Tourism,Intergrated Economic Development Services,180827,185439,196016
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",Economic Development  and Tourism,Tourism ,9050.188,6994,8456
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",Economic Development  and Tourism,Trade  and Sector  Development,252525,195453,203962
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",Environmental  Affairs,,319777,342588,362418
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",Environmental  Affairs,Biodiversity Management,211234,222228,233648
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",Environmental  Affairs,Compliance and Enforcement,45735,57051,62314
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",Environmental  Affairs,Environmental Empowerment Services,13159,13826,14514
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",Environmental  Affairs,"Environmental Policy, Planning and Coordination",26310,24962,26203
EASTERN CAPE,"ECONOMIC DEVELOPMENT, ENVIRONMENTAL AFFAIRS AND TOURISM",Environmental  Affairs,Environmental Quality Management,23339,24521,25739
EASTERN CAPE,EDUCATION,,,34772125.8096858,36810483,39327048.0441259
EASTERN CAPE,EDUCATION,Administration,,3012024.03300677,3146502,3536632
EASTERN CAPE,EDUCATION,Administration, Education Management Information System (EMIS),54212,68368,82679
EASTERN CAPE,EDUCATION,Administration,Corporate Services,1569355.98398786,1642493,1878800
EASTERN CAPE,EDUCATION,Administration,Education Management,1353566.04329891,1390349,1527370
EASTERN CAPE,EDUCATION,Administration,Human Resource Development,19456,20546,21676
EASTERN CAPE,EDUCATION,Administration,Office of the MEC,15434.00572,24746,26107
EASTERN CAPE,EDUCATION,PUBLIC ORDINARY SCHOOL EDUCATION,,28057586.27,29922326,31734335
EASTERN CAPE,EDUCATION,PUBLIC ORDINARY SCHOOL EDUCATION,Conditional Grants,1289212,1326821,1420002
EASTERN CAPE,EDUCATION,PUBLIC ORDINARY SCHOOL EDUCATION,Human Resource Development,84870.454,94214,99396
EASTERN CAPE,EDUCATION,PUBLIC ORDINARY SCHOOL EDUCATION,Public Primary Level,9754964.566,10826774,11416745
EASTERN CAPE,EDUCATION,PUBLIC ORDINARY SCHOOL EDUCATION,Public Secondary Level,16867740.734,17643796,18758940
EASTERN CAPE,EDUCATION,PUBLIC ORDINARY SCHOOL EDUCATION,"School sport, culture and media services",60798.516,30721,39252
EASTERN CAPE,EDUCATION,EARLY CHILDHOOD DEVELOPMENT,,785499.611611946,834013,881056
EASTERN CAPE,EDUCATION,EARLY CHILDHOOD DEVELOPMENT,Grade R in Public Schools,759723.362346469,806569,851883
EASTERN CAPE,EDUCATION,EARLY CHILDHOOD DEVELOPMENT,Human Resource Development,2451.46561667366,2589,2731
EASTERN CAPE,EDUCATION,EARLY CHILDHOOD DEVELOPMENT,PRE-GRADE R TRAINING,23324.7836488036,24855,26442
EASTERN CAPE,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,,490367.3947,513479,572164
EASTERN CAPE,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,Conditional Grants,43062,45455,47878
EASTERN CAPE,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,Payments to SETA,67766.6986,71562,75498
EASTERN CAPE,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,EXTERNAL EXAMINATIONS,339675.1084,361913,399513
EASTERN CAPE,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,PROFESSIONAL SERVICES,38319,33022,47498
EASTERN CAPE,EDUCATION,EXAMINATION AND EDUCATION RELATED SERVICES,SPECIAL PROJECTS,1544.5877,1527,1777
EASTERN CAPE,EDUCATION,Independent School Subsidies,,131008.839003976,138345,145954
EASTERN CAPE,EDUCATION,Independent School Subsidies,Primary Level,76364.006961154,80596,85029
EASTERN CAPE,EDUCATION,Independent School Subsidies,Secondary Level,54644.8320428215,57749,60925
EASTERN CAPE,EDUCATION,INFRASTRUCTURE DEVELOPMENT,,1489828.098,1394253,1547060
EASTERN CAPE,EDUCATION,INFRASTRUCTURE DEVELOPMENT,Administration,128079.382,113458,145440
EASTERN CAPE,EDUCATION,INFRASTRUCTURE DEVELOPMENT,Early Childhood Development,71380.97,41287,75579
EASTERN CAPE,EDUCATION,INFRASTRUCTURE DEVELOPMENT,Public Ordinary Schools,1214337,1212267,1290109
EASTERN CAPE,EDUCATION,INFRASTRUCTURE DEVELOPMENT,Special Schools,76030.746,27241,35932
EASTERN CAPE,EDUCATION,PUBLIC SPECIAL SCHOOL EDUCATION,,805811.563363156,861565,909847.044125914
EASTERN CAPE,EDUCATION,PUBLIC SPECIAL SCHOOL EDUCATION,Conditional Grants,23957,28448,30910.0441259134
EASTERN CAPE,EDUCATION,PUBLIC SPECIAL SCHOOL EDUCATION,Human Resource Development,2855.64469070197,3016,3182
EASTERN CAPE,EDUCATION,PUBLIC SPECIAL SCHOOL EDUCATION,"School sport, culture and media services",4829.4759363128,6790,7163
EASTERN CAPE,EDUCATION,PUBLIC SPECIAL SCHOOL EDUCATION,SCHOOLS,774169.442736141,823311,868592
EASTERN CAPE,HEALTH,,,23699560.3004,25223210,27043459
EASTERN CAPE,HEALTH,Administration,,695199,741857,773107
EASTERN CAPE,HEALTH,Administration,Office of the MEC,9870,10555,11289
EASTERN CAPE,HEALTH,Administration,MANAGEMENT,685329,731302,761818
EASTERN CAPE,HEALTH,Central Hospital Services,,3447737,3656376,3913787
EASTERN CAPE,HEALTH,Central Hospital Services,Central Hospital Services,1124285,1129660,1206503
EASTERN CAPE,HEALTH,Central Hospital Services,Provincial Tertiary Services,2323452,2526716,2707284
EASTERN CAPE,HEALTH,District Health Services,,12031947,12899136,13899332
EASTERN CAPE,HEALTH,District Health Services,Community Based Services,551266,592494,637212
EASTERN CAPE,HEALTH,District Health Services,Community Health Centres,1246933,1325479,1419225
EASTERN CAPE,HEALTH,District Health Services,District Hospitals,4678613,4937161,5289247
EASTERN CAPE,HEALTH,District Health Services,District Management,884813,960260,1036319
EASTERN CAPE,HEALTH,District Health Services,Nutrition,52837,46543,46038
EASTERN CAPE,HEALTH,District Health Services,Other Community Services,68040,71488,76673
EASTERN CAPE,HEALTH,District Health Services,COMMUNITY HEALTH CLINICS,2344722,2550058,2721386
EASTERN CAPE,HEALTH,District Health Services,CORONER SERVICES,106090,113949,120932
EASTERN CAPE,HEALTH,District Health Services,HIV/AIDS,2098633,2301704,2552300
EASTERN CAPE,HEALTH,Emergency Medical Services,,1284612.3923,1432230,1539458
EASTERN CAPE,HEALTH,Emergency Medical Services,EMERGENCY TRANSPORT,1166757.7711,1306522,1405276
EASTERN CAPE,HEALTH,Emergency Medical Services,PLANNED PATIENT TRANSPORT,117854.6212,125708,134182
EASTERN CAPE,HEALTH,Health Care Support Services,,125512.4544,132371,141240
EASTERN CAPE,HEALTH,Health Care Support Services,Medicine Trading Account,71179.7915,75112,80088
EASTERN CAPE,HEALTH,Health Care Support Services,Orthotic & Prosthetic Services,54332.6629,57259,61152
EASTERN CAPE,HEALTH,HEALTH FACILITIES MANAGEMENT,,1372071,1316896,1382526
EASTERN CAPE,HEALTH,HEALTH FACILITIES MANAGEMENT,Community Health Facilities,193283,292092,384251
EASTERN CAPE,HEALTH,HEALTH FACILITIES MANAGEMENT,District Hospital Services,641624,521625,535578
EASTERN CAPE,HEALTH,HEALTH FACILITIES MANAGEMENT,EMERGENCY MEDICAL RESCUE SERVICES,0,0,0
EASTERN CAPE,HEALTH,HEALTH FACILITIES MANAGEMENT,OTHER FACILITIES,68779,25100,0
EASTERN CAPE,HEALTH,HEALTH FACILITIES MANAGEMENT,PROVINCIAL HOSPITAL SERVICES,468385,478079,462697
EASTERN CAPE,HEALTH,Health Sciences and Training ,,885346.4809,943485,983851
EASTERN CAPE,HEALTH,Health Sciences and Training ,EMS Training College,18763.6551,18493,17714
EASTERN CAPE,HEALTH,Health Sciences and Training ,Nursing Training Colleges,326370.8258,348989,371685
EASTERN CAPE,HEALTH,Health Sciences and Training ,Other Training,364512,390463,398907
EASTERN CAPE,HEALTH,Health Sciences and Training ,BURSARIES,175700,185540,195545
EASTERN CAPE,HEALTH,Provincial Hospital Services,,3857134.9728,4100859,4410158
EASTERN CAPE,HEALTH,Provincial Hospital Services,General (Regional) Hospitals,2781424.914,2941434,3153060
EASTERN CAPE,HEALTH,Provincial Hospital Services,Psychiatric Mental Hospitals,696961.4133,763748,831145
EASTERN CAPE,HEALTH,Provincial Hospital Services,TB Hospitals,378748.6455,395677,425953
EASTERN CAPE,HUMAN SETTLEMENTS,,,2376749,2474761,2645847.2
EASTERN CAPE,HUMAN SETTLEMENTS,Administration,,156952,157116,163577.2
EASTERN CAPE,HUMAN SETTLEMENTS,Administration,Corporate Services,147818,147344,153214.2
EASTERN CAPE,HUMAN SETTLEMENTS,Administration,Office of the MEC,9134,9772,10363
EASTERN CAPE,HUMAN SETTLEMENTS,Housing Asset Management,,13283,14012,14973
EASTERN CAPE,HUMAN SETTLEMENTS,Housing Asset Management,Administration,2475,2656,2827
EASTERN CAPE,HUMAN SETTLEMENTS,Housing Asset Management,Devolution of Housing Properties,5426,5660,6082
EASTERN CAPE,HUMAN SETTLEMENTS,Housing Asset Management,Housing Properties Maintenance,0,12,13
EASTERN CAPE,HUMAN SETTLEMENTS,Housing Asset Management,Sale and Transfer of Housing Properties,5382,5684,6051
EASTERN CAPE,HUMAN SETTLEMENTS,Housing Development,,2186394,2282386,2444453
EASTERN CAPE,HUMAN SETTLEMENTS,Housing Development,Administration,2587,2498,2714
EASTERN CAPE,HUMAN SETTLEMENTS,Housing Development,Financial Interventions,328809,358190,430639
EASTERN CAPE,HUMAN SETTLEMENTS,Housing Development,Incremental Interventions,1034283,1052959,1087564
EASTERN CAPE,HUMAN SETTLEMENTS,Housing Development,Rural Intervention,729487,772231,821540
EASTERN CAPE,HUMAN SETTLEMENTS,Housing Development,Social and Rental Intervention,91228,96508,101996
EASTERN CAPE,HUMAN SETTLEMENTS,"Housing Needs, Research and Planning ",,20120,21247,22844
EASTERN CAPE,HUMAN SETTLEMENTS,"Housing Needs, Research and Planning ",Administration,2186,2411,2605
EASTERN CAPE,HUMAN SETTLEMENTS,"Housing Needs, Research and Planning ",Policy,6667,7030,7583
EASTERN CAPE,HUMAN SETTLEMENTS,"Housing Needs, Research and Planning ",PLANNING,5790,6082,6520
EASTERN CAPE,HUMAN SETTLEMENTS,"Housing Needs, Research and Planning ",RESEARCH,5477,5724,6136
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,,,983800.098003541,1028476,1104247
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Administration,,269302.29957751,265774,281629
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Administration,Corporate Services,259044.448610717,257245,272621
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Administration,Office of the MEC,10257.8509667938,8529,9008
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,,114718.378933702,137534,139819
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Disaster Management,26862.071454294,25440,21563
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,IDP Co-ordination ,5974.98615048085,7463,7874
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Land Use Management,20040.8926301198,29895,31538
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Local Economic Development (LED),25409.4752754617,25595,27001
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Municipal Infrastructure,22497.2381821958,29437,31056
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Development and Planning,Spatial Planning,13933.7152411497,19704,20787
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,House of Traditional Leaders,,34929.7504767671,27042,28529
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,House of Traditional Leaders,Administration of House of Traditional Leaders,24138.082549746,15601,16458
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,House of Traditional Leaders,Committees and Local Houses of Traditional Leaders,10791.6679270211,11441,12071
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,,242475.316309042,243528,269964
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,Capacity Development ,7511.84535728249,8767,9249
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,Municipal Administration,25347.4971263833,34559,40634
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,Municipal Finance,31022.0910202469,17172,18116
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,"Municipal Performance Monitoring, Reporting and Evaluation",13931.8026644378,33882,35746
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Local Governance,Public Participation ,164662.080140692,149148,166219
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Traditional Institutional Management,,322374.35270652,354598,384306
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Rural Development Facilitation,11894.6296654535,13956,14723
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Traditional Institutional Administration,17977.6288975416,25261,26650
EASTERN CAPE,LOCAL GOVERNMENT AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Traditional Resource Administration,292502.094143525,315381,342933
EASTERN CAPE,OFFICE OF THE PREMIER,,,973396.122,984164.455,945389.989575
EASTERN CAPE,OFFICE OF THE PREMIER,Administration,,381691.958,402900.08,409591.1752
EASTERN CAPE,OFFICE OF THE PREMIER,Administration,Corporate Management,77489.324,76016,65046.36
EASTERN CAPE,OFFICE OF THE PREMIER,Administration,Director General Support,222410,229456,236095.51
EASTERN CAPE,OFFICE OF THE PREMIER,Administration,Financial Management,50926,64632.08,73622.4952
EASTERN CAPE,OFFICE OF THE PREMIER,Administration,Premier Support,15115.634,15963,16981.595
EASTERN CAPE,OFFICE OF THE PREMIER,Administration,Programme Management: Corporate Services,15751,16833,17845.215
EASTERN CAPE,OFFICE OF THE PREMIER,Institutional Development and Organisational Support,,187188,169953,177635.17
EASTERN CAPE,OFFICE OF THE PREMIER,Institutional Development and Organisational Support,Human Resource Management & Development,47533,39933,39263.27
EASTERN CAPE,OFFICE OF THE PREMIER,Institutional Development and Organisational Support,Programme Management: Institutional Development Support & Integrity Management,8510,9204,9710.22
EASTERN CAPE,OFFICE OF THE PREMIER,Institutional Development and Organisational Support,Provincial Communications Services,17401,17446,18579.99
EASTERN CAPE,OFFICE OF THE PREMIER,Institutional Development and Organisational Support,Provincial ICT,92496,81393,86676.185
EASTERN CAPE,OFFICE OF THE PREMIER,Institutional Development and Organisational Support,Provincial Integrity Management,8408,9077,9667.005
EASTERN CAPE,OFFICE OF THE PREMIER,Institutional Development and Organisational Support,Provincial State Law Advisory Services,12840,12900,13738.5
EASTERN CAPE,OFFICE OF THE PREMIER,"Planning, Policy Coordination, Monitoring and Evaluation",,404516.164,411311.375,358163.644375
EASTERN CAPE,OFFICE OF THE PREMIER,"Planning, Policy Coordination, Monitoring and Evaluation",IGR &Stakeholder Relations Management,246372,222523.375,146509.219375
EASTERN CAPE,OFFICE OF THE PREMIER,"Planning, Policy Coordination, Monitoring and Evaluation",Performance Monitoring and Evaluation,55993,20335,21636.535
EASTERN CAPE,OFFICE OF THE PREMIER,"Planning, Policy Coordination, Monitoring and Evaluation","Programme Management: Research, Policy Coordination, Monitoring & Evaluation",22139,30594,30861.67
EASTERN CAPE,OFFICE OF THE PREMIER,"Planning, Policy Coordination, Monitoring and Evaluation",Research Coordination & Policy Development Support,59014.164,64462,68099.825
EASTERN CAPE,OFFICE OF THE PREMIER,"Planning, Policy Coordination, Monitoring and Evaluation",Transformation Programmes,20998,73397,91056.395
EASTERN CAPE,PROVINCIAL LEGISLATURE,,,525999.4433694,548960,578253
EASTERN CAPE,PROVINCIAL LEGISLATURE,Administration,,205915.8001894,213864,218626
EASTERN CAPE,PROVINCIAL LEGISLATURE,Administration,Coperate Services,91587.09198,93138,96262
EASTERN CAPE,PROVINCIAL LEGISLATURE,Administration,Financial Management,61291.784,64890,63456
EASTERN CAPE,PROVINCIAL LEGISLATURE,Administration,Internal Audit,2058.5754189,2238,2361
EASTERN CAPE,PROVINCIAL LEGISLATURE,Administration,Office of the Secretary,33272.3487905,34939,36861
EASTERN CAPE,PROVINCIAL LEGISLATURE,Administration,Office of the Speaker,17706,18659,19686
EASTERN CAPE,PROVINCIAL LEGISLATURE,Administration,Safety,0,0,0
EASTERN CAPE,PROVINCIAL LEGISLATURE,Direct charge against the Provincial Revenue Fund,,64003,63358,65944
EASTERN CAPE,PROVINCIAL LEGISLATURE,Direct charge against the Provincial Revenue Fund,Direct Charge,64003,63358,65944
EASTERN CAPE,PROVINCIAL LEGISLATURE,Facilities for Members and Political Parties,,151893,151449,159779
EASTERN CAPE,PROVINCIAL LEGISLATURE,Facilities for Members and Political Parties,Facilities and Benefits,9966,10648,11234
EASTERN CAPE,PROVINCIAL LEGISLATURE,Facilities for Members and Political Parties,Political Support Services,141927,140801,148545
EASTERN CAPE,PROVINCIAL LEGISLATURE,Parliamentary Services,,104187.64318,120289,133904
EASTERN CAPE,PROVINCIAL LEGISLATURE,Parliamentary Services,Committee Services,34479.554,47276,51876
EASTERN CAPE,PROVINCIAL LEGISLATURE,Parliamentary Services,Hansard and Language Services,5792.6575489,6085,6420
EASTERN CAPE,PROVINCIAL LEGISLATURE,Parliamentary Services,Legal Services,9404,9901,10447
EASTERN CAPE,PROVINCIAL LEGISLATURE,Parliamentary Services,National Council of Provinces (NCOP),4860,5094,5374
EASTERN CAPE,PROVINCIAL LEGISLATURE,Parliamentary Services,Public Participation and Awareness,21561,22543,28783
EASTERN CAPE,PROVINCIAL LEGISLATURE,Parliamentary Services,Research Services,23289,24312,25647
EASTERN CAPE,PROVINCIAL LEGISLATURE,Parliamentary Services,House Proceedings,4801.4316311,5078,5357
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,,,591487,570992,587174
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Administration,,162324,170646,178549
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Administration,Corporate Services,45962,48529,51561
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Administration,Financial Management (Office of the CFO),52077,55744,59248
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Administration,Internal Audit,8652,9203,9791
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Administration,Management Services,47895,48978,49274
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Administration,Office of the MEC,7738,8192,8675
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Asset and Liability,,27120,28841,30678
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Asset and Liability,Asset Management,27120,28841,30678
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Asset and Liability,Programme Support,0,0,0
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Financial Governance,,86024,91265,97181
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Financial Governance,Accounting Services,14148,15059,16029
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Financial Governance,Norms & Standards,7174,7646,8148
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Financial Governance,Programme Support,20218,21531,22932
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Financial Governance,Provincial Internal Audit ,15321,16033,17106
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Financial Governance,Risk Management,4630,4927,5245
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Financial Governance,Supporting  and Interlinked Financial Systems,24533,26069,27721
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Municipal Financial Governance,,243638,205396,200940
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Municipal Financial Governance,Municipal Accounting & Reporting,18983,20195,21485
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Municipal Financial Governance,Municipal Budget & Institutional Governance,21000,22350,23785
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Municipal Financial Governance,Programme Support,203655,162851,155670
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Sustainable Resource Management,,72381,74844,79826
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Sustainable Resource Management,Budget Management,56787,59787,63783
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Sustainable Resource Management,Economic Analysis,2608,2782,2968
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Sustainable Resource Management,Fiscal Policy,10035,9132,9728
EASTERN CAPE,PROVINCIAL PLANNING AND TREASURY,Sustainable Resource Management,Programme Support,2951,3143,3347
EASTERN CAPE,ROADS AND PUBLIC WORKS,,,2344172,2384734,2525731.865
EASTERN CAPE,ROADS AND PUBLIC WORKS,Administration,,580773,614457,650804.865
EASTERN CAPE,ROADS AND PUBLIC WORKS,Administration,Corporate Support,542832,574252,608388.865
EASTERN CAPE,ROADS AND PUBLIC WORKS,Administration,Management of the Department,19255,20473,21600
EASTERN CAPE,ROADS AND PUBLIC WORKS,Administration,Office of the MEC,18686,19732,20816
EASTERN CAPE,ROADS AND PUBLIC WORKS,Expanded Public Works Programme,,95511,94458,101143
EASTERN CAPE,ROADS AND PUBLIC WORKS,Expanded Public Works Programme,Co -ordination and Compliance Monitoring,33995,35948,37577
EASTERN CAPE,ROADS AND PUBLIC WORKS,Expanded Public Works Programme,Community Development ,6508,1590,1700
EASTERN CAPE,ROADS AND PUBLIC WORKS,Expanded Public Works Programme,Innovation and Empowerment,47386,49192,53537
EASTERN CAPE,ROADS AND PUBLIC WORKS,Expanded Public Works Programme,Programme Support,7622,7728,8329
EASTERN CAPE,ROADS AND PUBLIC WORKS,Public Works Infrastructure,,1667888,1675819,1773784
EASTERN CAPE,ROADS AND PUBLIC WORKS,Public Works Infrastructure,Construction ,267992,282160,296855
EASTERN CAPE,ROADS AND PUBLIC WORKS,Public Works Infrastructure,Facility Operations ,172586,202307,213433
EASTERN CAPE,ROADS AND PUBLIC WORKS,Public Works Infrastructure,Immovable Asset Management ,903655,831326,881345
EASTERN CAPE,ROADS AND PUBLIC WORKS,Public Works Infrastructure,Maintenance,193823,221246,236038
EASTERN CAPE,ROADS AND PUBLIC WORKS,Public Works Infrastructure,Programme Support,122911,131472,138403
EASTERN CAPE,ROADS AND PUBLIC WORKS,Public Works Infrastructure,DESIGN,0,0,0
EASTERN CAPE,ROADS AND PUBLIC WORKS,Public Works Infrastructure,PLANNING,6921,7308,7710
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,,,2328236.3224045,2387585,2532830
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Administration,,474026,495928,528437
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Administration,Communication Services,9324,9252,9759
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Administration,Corporate Services,230021,237787,250403
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Administration,Financial Management,174477,184875,200742
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Administration,Office of the MEC,12651,13451,14190
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Administration,Senior Management,47553,50563,53343
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Agricultural Economics Services,,85815.0166,42222,42449
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Agricultural Economics Services,Macroeconomics Support,28432.0168,30252,31916
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Agricultural Economics Services,Productuion  Economics & Marketing Support,57382.9998,11970,10533
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Research And Technology Development,,135165.958835,143298,151180
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Research And Technology Development,Technology Transfer Services,6383,6766,7139
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Research And Technology Development,INFRASTRUCTURE SUPPORT SERVICES,1653.00177,1745,1841
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Research And Technology Development,RESEARCH,127129.957065,134787,142200
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Rural Development Coordination,,192161.435479,218201,232298
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Rural Development Coordination,Development Planning and Monitoring,188591.988136,214405,228293
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Rural Development Coordination,Social Facilitation,3569.447343,3796,4005
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Structured Agricultural Education and Training,,159966.112242,169434,178753
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Structured Agricultural Education and Training,Further Education & Training (FET),106648.043542,113130,119352
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Structured Agricultural Education and Training,HIGHER EDUCATION AND TRAINING,53318.0687,56304,59401
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Sustainable Resource Management,,127957.5832305,133517,140861
